050600:0,0.1717681;1,0.1767667;2,0.1895394;3,0.1254761;4,0.0424369;5,0.09853905;6,0.0873751;7,0.06273648;8,0.04536224;
050E00:0,0.23264;1,0.1577402;2,0.1366804;3,0.2175633;4,0.08419005;5,0.01272323;6,0.07251693;7,0.04823314;8,0.03771273;
050A00:0,0.05378646;1,0.01151342;2,0.06109399;3,0.2273816;4,0.003612774;5,0.09674682;6,0.07029098;7,0.2208931;8,0.2546809;
050A0A:0,0.1728833;1,0.1513366;2,0.02208813;3,0.1357033;4,0.1662675;5,0.005236332;6,0.05238937;7,0.1272335;8,0.1668621;
010A0A:0,0.05162253;1,0.1198644;2,0.08083791;3,0.1259461;4,0.03300051;5,0.05663758;6,0.03090183;7,0.06680517;8,0.434384;
090A0A:0,0.1486572;1,0.1544084;2,0.1545802;3,0.02883576;4,0.0404851;5,0.1647033;6,0.05881174;7,0.08733612;8,0.1621821;
090A00:0,0.03956905;1,0.03699264;2,0.1050655;3,0.2551033;4,0.3604093;5,0.04152253;6,0.03535907;7,0.04093871;8,0.08504003;
010A00:0,0.1471848;1,0.08032785;2,0.160293;3,0.1247475;4,0.1765006;5,0.1367999;6,0.04705711;7,0.0349565;8,0.09213267;
010A08:0,0.07673289;1,0.143463;2,0.2217349;3,0.2360727;4,0.0898188;5,0.04427225;6,0.05576841;7,0.05560705;8,0.07653002;
050608:0,0.01418353;1,0.07484881;2,0.1129192;3,0.0758605;4,0.06587888;5,0.01961655;6,0.03407311;7,0.1065578;8,0.4960616;
