050500:0,0.196864;3,0.02196135;1,0.1551593;2,0.2076746;4,0.2027926;5,0.07320501;8,0.007067607;6,0.008809587;7,0.126466;
050100:0,0.2420776;3,0.1982473;1,0.09152548;2,0.02201025;4,0.08747146;5,0.1135699;8,0.03831574;6,0.103427;7,0.1033552;
010900:0,0.1605975;3,0.02243976;1,0.245352;2,0.05847398;4,0.1769206;5,0.1000672;8,0.05651751;6,0.1658142;7,0.01381718;
000900:0,0.173456;3,0.107053;1,0.07874799;2,0.09097086;4,0.1550304;5,0.02029404;8,0.05120081;6,0.1554523;7,0.1677948;
090900:0,0.1346082;3,0.1298032;1,0.140049;2,0.1862977;4,0.1191693;5,0.0306424;8,0.1073744;6,0.07501644;7,0.07703927;
000000:0,0.1117953;3,0.07503454;1,0.1132703;2,0.01585997;4,0.1659919;5,0.1537303;8,0.09558886;6,0.128438;7,0.140291;
05000A:0,0.09336017;3,0.1283061;1,0.01425147;2,0.2007081;4,0.04585896;5,0.1579198;8,0.0483228;6,0.175135;7,0.1361375;
01000A:0,0.08702919;3,0.03498414;1,0.1905399;2,0.03570284;4,0.1699833;5,0.2305797;8,0.09381621;6,0.03710675;7,0.120258;
000008:0,0.03439663;3,0.1562085;1,0.05797374;2,0.06635359;4,0.2389387;5,0.2036736;8,0.1029152;6,0.1009843;7,0.03855575;
